2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  1.190816624510438E+08, -1.317853140472653E+08, -1.444366097193903E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  1.204454148419053E+08, -1.299441538253975E+08, -1.425739545801185E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  1.217879927529252E+08, -1.280799706637812E+08, -1.406861231829308E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  1.231089910725984E+08, -1.261929157070177E+08, -1.387732535369151E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  1.244080020504554E+08, -1.242831464821943E+08, -1.368354901722568E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  1.256846153390938E+08, -1.223508270627718E+08, -1.348729843112149E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  1.269384180407806E+08, -1.203961282356209E+08, -1.328858940423787E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  1.281689947588403E+08, -1.184192276711825E+08, -1.308743844981610E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  1.293759276540498E+08, -1.164203100967169E+08, -1.288386280354819E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  1.305587965062698E+08, -1.143995674726023E+08, -1.267788044195721E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  1.317171787815458E+08, -1.123571991716286E+08, -1.246951010108180E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  1.328506497049230E+08, -1.102934121612293E+08, -1.225877129545584E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  1.339587823392203E+08, -1.082084211885765E+08, -1.204568433737240E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  1.350411476700209E+08, -1.061024489684591E+08, -1.183027035641930E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  1.360973146971391E+08, -1.039757263738481E+08, -1.161255131927265E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  1.371268505328296E+08, -1.018284926290410E+08, -1.139255004973142E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  1.381293205070135E+08, -9.966099550526422E+07, -1.117029024897539E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  1.391042882797961E+08, -9.747349151859570E+07, -1.094579651602497E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  1.400513159615598E+08, -9.526624613005653E+07, -1.071909436837909E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  1.409699642409163E+08, -9.303953394769907E+07, -1.049021026280299E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  1.418597925208055E+08, -9.079363893050282E+07, -1.025917161623356E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  1.427203590630344E+08, -8.852885459386608E+07, -1.002600682676511E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  1.435512211415451E+08, -8.624548421645844E+07, -9.790745294673644E+06,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  1.443519352047097E+08, -8.394384104817468E+07, -9.553417443432953E+06,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  1.451220570469439E+08, -8.162424851890272E+07, -9.314054740670431E+06,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  1.458611419899357E+08, -7.928704044779031E+07, -9.072689719004791E+06,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  1.465687450737768E+08, -7.693256125266214E+07, -8.829355996700693E+06,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  1.472444212582833E+08, -7.456116615920350E+07, -8.584088298065975E+06,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  1.478877256347824E+08, -7.217322140948702E+07, -8.336922473507475E+06,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  1.484982136486339E+08, -6.976910446937132E+07, -8.087895519148350E+06,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  1.490754413327400E+08, -6.734920423424962E+07, -7.837045595895696E+06,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  1.496189655522853E+08, -6.491392123256330E+07, -7.584412047830481E+06,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  1.501283442609274E+08, -6.246366782642356E+07, -7.330035419771183E+06,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  1.506031367686402E+08, -5.999886840859942E+07, -7.073957473840389E+06,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  1.510429040213841E+08, -5.751995959502455E+07, -6.816221204835132E+06,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  1.514472088927535E+08, -5.502739041185014E+07, -6.556870854171705E+06,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  1.518156164877213E+08, -5.252162247591215E+07, -6.295951922138423E+06,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  1.521476944585735E+08, -5.000313016728423E+07, -6.033511178150635E+06,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  1.524430133331045E+08, -4.747240079233596E+07, -5.769596668658309E+06,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  1.527011468551299E+08, -4.492993473539408E+07, -5.504257722313173E+06,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  1.529216723373920E+08, -4.237624559668849E+07, -5.237544951964503E+06,
